date,day,anchor_time,direction,entry,sl,tp,exit_price,risk_dollars,pnl,rr_achieved,outcome,exit_time
2025-10-16,Thursday,13:30,long,4252.47,4245.7,4272.8,4245.7,30,-30.0,-1.0,sl,2025-10-16 13:55:00
2025-10-17,Friday,13:30,short,4289.35,4295.55,4270.75,4270.75,30,90.0,3.0,tp,2025-10-17 14:00:00
2025-10-21,Tuesday,13:30,long,4206.99,4198.05,4233.82,4198.05,30,-30.0,-1.0,sl,2025-10-21 13:45:00
2025-10-22,Wednesday,13:30,long,4060.3,4057.63,4068.31,4068.31,30,90.0,3.0,tp,2025-10-22 13:40:00
2025-10-23,Thursday,13:30,long,4147.63,4138.72,4174.35,4138.72,30,-30.0,-1.0,sl,2025-10-23 13:50:00
2025-10-24,Friday,13:30,short,4110.04,4113.11,4100.85,4100.85,30,90.0,3.0,tp,2025-10-24 13:45:00
2025-10-28,Tuesday,13:30,short,3923.66,3930.27,3903.85,3930.27,30,-30.0,-1.0,sl,2025-10-28 13:45:00
2025-10-29,Wednesday,13:30,short,4009.27,4013.41,3996.84,4013.41,30,-30.0,-1.0,sl,2025-10-29 13:55:00
2025-10-30,Thursday,13:30,short,3966.72,3975.34,3940.85,3975.34,30,-30.0,-1.0,sl,2025-10-30 13:45:00
2025-10-31,Friday,13:30,short,4019.36,4024.69,4003.37,4024.69,30,-30.0,-1.0,sl,2025-10-31 14:00:00
2025-11-04,Tuesday,13:30,short,3979.28,3982.9,3968.41,3968.41,30,90.0,3.0,tp,2025-11-04 14:00:00
2025-11-11,Tuesday,13:30,long,4145.07,4142.77,4151.97,4142.77,30,-30.0,-1.0,sl,2025-11-11 13:40:00
2025-11-12,Wednesday,13:30,long,4131.96,4127.87,4144.24,4127.87,30,-30.0,-1.0,sl,2025-11-12 13:40:00
2025-11-13,Thursday,13:30,short,4223.18,4228.86,4206.14,4228.86,30,-30.0,-1.0,sl,2025-11-13 13:40:00
2025-11-14,Friday,13:30,short,4053.85,4063.5,4024.88,4063.5,30,-30.0,-1.0,sl,2025-11-14 14:35:00
2025-11-18,Tuesday,13:30,long,4054.34,4053.3,4057.49,4057.49,30,90.0,3.0,tp,2025-11-18 13:40:00
2025-11-20,Thursday,13:30,long,4090.05,4074.01,4138.16,4074.01,30,-30.0,-1.0,sl,2025-11-20 13:55:00
2025-11-21,Friday,13:30,short,4066.4,4071.68,4050.56,4071.68,30,-30.0,-1.0,sl,2025-11-21 13:40:00
2025-11-25,Tuesday,13:30,long,4149.15,4142.54,4168.99,4142.54,30,-30.0,-1.0,sl,2025-11-25 14:05:00
2025-11-26,Wednesday,13:30,short,4158.26,4161.2,4149.42,4149.42,30,90.0,3.0,tp,2025-11-26 13:50:00
2025-11-27,Thursday,13:30,long,4157.12,4155.09,4163.19,4155.09,30,-30.0,-1.0,sl,2025-11-27 13:40:00
2025-11-28,Friday,13:30,long,4176.92,4173.4,4187.47,4173.4,30,-30.0,-1.0,sl,2025-11-28 13:40:00
2025-12-02,Tuesday,13:30,short,4203.33,4207.08,4192.09,4207.08,30,-30.0,-1.0,sl,2025-12-02 13:40:00
2025-12-10,Wednesday,13:30,short,4196.86,4199.49,4188.99,4199.49,30,-30.0,-1.0,sl,2025-12-10 13:40:00
2025-12-11,Thursday,13:30,long,4216.18,4209.66,4235.76,4235.76,30,90.0,3.0,tp,2025-12-11 14:30:00
2025-12-17,Wednesday,13:30,long,4336.17,4330.86,4352.09,4330.86,30,-30.0,-1.0,sl,2025-12-17 14:10:00
2025-12-18,Thursday,13:30,long,4335.94,4332.61,4345.93,4332.61,30,-30.0,-1.0,sl,2025-12-18 14:25:00
2025-12-19,Friday,13:30,short,4330.79,4333.79,4321.8,4333.79,30,-30.0,-1.0,sl,2025-12-19 14:05:00
2025-12-23,Tuesday,13:30,short,4484.54,4492.8,4459.77,4459.77,30,90.0,3.0,tp,2025-12-23 14:05:00
2025-12-24,Wednesday,13:30,long,4484.45,4479.27,4499.99,4479.27,30,-30.0,-1.0,sl,2025-12-24 14:30:00
2025-12-26,Friday,13:30,long,4522.6,4517.56,4537.71,4517.56,30,-30.0,-1.0,sl,2025-12-26 13:50:00
2025-12-30,Tuesday,13:30,short,4376.7,4382.62,4358.92,4382.62,30,-30.0,-1.0,sl,2025-12-30 13:45:00
2026-01-06,Tuesday,13:30,long,4461.53,4458.33,4471.15,4458.33,30,-30.0,-1.0,sl,2026-01-06 13:45:00
2026-01-07,Wednesday,13:30,short,4441.06,4445.17,4428.72,4445.17,30,-30.0,-1.0,sl,2026-01-07 13:40:00
2026-01-08,Thursday,13:30,long,4434.55,4425.55,4461.53,4425.55,30,-30.0,-1.0,sl,2026-01-08 13:50:00
2026-01-09,Friday,13:30,long,4488.46,4478.51,4518.31,4506.78,30,55.24,1.84,eod_close,2026-01-09 21:00:00
2026-01-13,Tuesday,13:30,long,4614.48,4609.06,4630.77,4609.06,30,-30.0,-1.0,sl,2026-01-13 13:55:00
2026-01-14,Wednesday,13:30,long,4633.78,4630.47,4643.71,4630.47,30,-30.0,-1.0,sl,2026-01-14 13:50:00
